"","File","RelativePath","Folder","Date","Time","ImageQuality","DeleteFlag","Note","Chamber_1","Chamber_2","Chamber_3","Chamber_4","Frame","datetime"
"133","Affiliation 20191213 01___2019-12-13_09-49-49-5467-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:50","Ok",FALSE,"","Right","Left","Right","Left",133,2019-12-13 09:49:50
"134","Affiliation 20191213 01___2019-12-13_09-49-54-5520-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:49:56","Ok",FALSE,"","Right","Left","Left","Left",134,2019-12-13 09:49:56
"135","Affiliation 20191213 01___2019-12-13_09-49-59-5433-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:00","Ok",FALSE,"","Right","Left","Left","Left",135,2019-12-13 09:50:00
"136","Affiliation 20191213 01___2019-12-13_09-50-04-5696-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:06","Ok",FALSE,"","Right","Right","Left","Right",136,2019-12-13 09:50:06
"137","Affiliation 20191213 01___2019-12-13_09-50-09-5469-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:10","Ok",FALSE,"","Right","Right","Left","Right",137,2019-12-13 09:50:10
"138","Affiliation 20191213 01___2019-12-13_09-50-14-5702-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:16","Ok",FALSE,"","Right","Right","Left","Right",138,2019-12-13 09:50:16
"139","Affiliation 20191213 01___2019-12-13_09-50-19-5654-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:20","Ok",FALSE,"","Right","Right","Left","Right",139,2019-12-13 09:50:20
"140","Affiliation 20191213 01___2019-12-13_09-50-24-5867-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:26","Ok",FALSE,"","Right","Neutral","Left","Neutral",140,2019-12-13 09:50:26
"141","Affiliation 20191213 01___2019-12-13_09-50-29-5620-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:30","Ok",FALSE,"","Right","Left","Right","Left",141,2019-12-13 09:50:30
"142","Affiliation 20191213 01___2019-12-13_09-50-34-5523-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:36","Ok",FALSE,"","Right","Left","Left","Left",142,2019-12-13 09:50:36
"143","Affiliation 20191213 01___2019-12-13_09-50-39-5756-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:40","Ok",FALSE,"","Right","Left","Left","Unknown",143,2019-12-13 09:50:40
"144","Affiliation 20191213 01___2019-12-13_09-50-44-5549-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:46","Ok",FALSE,"","Right","Left","Right","Right",144,2019-12-13 09:50:46
"145","Affiliation 20191213 01___2019-12-13_09-50-49-5432-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:50","Ok",FALSE,"","Right","Left","Right","Left",145,2019-12-13 09:50:50
"146","Affiliation 20191213 01___2019-12-13_09-50-54-5664-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:50:56","Ok",FALSE,"","Right","Left","Right","Neutral",146,2019-12-13 09:50:56
"147","Affiliation 20191213 01___2019-12-13_09-50-59-5457-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:00","Ok",FALSE,"","Right","Right","Left","Right",147,2019-12-13 09:51:00
"148","Affiliation 20191213 01___2019-12-13_09-51-04-5670-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:06","Ok",FALSE,"","Right","Right","Left","Left",148,2019-12-13 09:51:06
"149","Affiliation 20191213 01___2019-12-13_09-51-09-5583-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:10","Ok",FALSE,"","Right","Right","Neutral","Left",149,2019-12-13 09:51:10
"150","Affiliation 20191213 01___2019-12-13_09-51-14-5666-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:16","Ok",FALSE,"","Right","Right","Right","Right",150,2019-12-13 09:51:16
"151","Affiliation 20191213 01___2019-12-13_09-51-19-5619-07-00.jpg",NA,"12/13/2019",2019-12-13,"9:51:20","Ok",FALSE,"","Right","Right","Right","Neutral",151,2019-12-13 09:51:20
