File,RelativePath,Folder,Date,Time,ImageQuality,DeleteFlag,Note,Chamber_1,Chamber_2,Chamber_3,Chamber_4,Frame
Affiliation 20191213 01___2019-12-13_09-34-06-5108-07-00.jpg,,12/13/2019,13-Dec-19,9:34:08,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-07-5038-07-00.jpg,,12/13/2019,13-Dec-19,9:34:08,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-08-5099-07-00.jpg,,12/13/2019,13-Dec-19,9:34:10,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-09-5060-07-00.jpg,,12/13/2019,13-Dec-19,9:34:10,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-10-5100-07-00.jpg,,12/13/2019,13-Dec-19,9:34:12,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-11-5051-07-00.jpg,,12/13/2019,13-Dec-19,9:34:12,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-12-5261-07-00.jpg,,12/13/2019,13-Dec-19,9:34:14,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-13-5022-07-00.jpg,,12/13/2019,13-Dec-19,9:34:14,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-14-5262-07-00.jpg,,12/13/2019,13-Dec-19,9:34:16,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-15-5053-07-00.jpg,,12/13/2019,13-Dec-19,9:34:16,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-16-4974-07-00.jpg,,12/13/2019,13-Dec-19,9:34:18,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-17-5034-07-00.jpg,,12/13/2019,13-Dec-19,9:34:18,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-18-4965-07-00.jpg,,12/13/2019,13-Dec-19,9:34:20,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-19-5035-07-00.jpg,,12/13/2019,13-Dec-19,9:34:20,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-20-4966-07-00.jpg,,12/13/2019,13-Dec-19,9:34:22,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-21-5046-07-00.jpg,,12/13/2019,13-Dec-19,9:34:22,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-22-4957-07-00.jpg,,12/13/2019,13-Dec-19,9:34:24,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-23-5028-07-00.jpg,,12/13/2019,13-Dec-19,9:34:24,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-24-4938-07-00.jpg,,12/13/2019,13-Dec-19,9:34:26,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-25-5049-07-00.jpg,,12/13/2019,13-Dec-19,9:34:26,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-26-4949-07-00.jpg,,12/13/2019,13-Dec-19,9:34:28,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-27-5190-07-00.jpg,,12/13/2019,13-Dec-19,9:34:28,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-28-4970-07-00.jpg,,12/13/2019,13-Dec-19,9:34:30,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-29-5211-07-00.jpg,,12/13/2019,13-Dec-19,9:34:30,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-30-4972-07-00.jpg,,12/13/2019,13-Dec-19,9:34:32,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-31-4892-07-00.jpg,,12/13/2019,13-Dec-19,9:34:32,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-32-4973-07-00.jpg,,12/13/2019,13-Dec-19,9:34:34,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-33-4863-07-00.jpg,,12/13/2019,13-Dec-19,9:34:34,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-34-4964-07-00.jpg,,12/13/2019,13-Dec-19,9:34:36,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-35-4884-07-00.jpg,,12/13/2019,13-Dec-19,9:34:36,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-36-4945-07-00.jpg,,12/13/2019,13-Dec-19,9:34:38,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-37-4866-07-00.jpg,,12/13/2019,13-Dec-19,9:34:38,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-38-4866-07-00.jpg,,12/13/2019,13-Dec-19,9:34:40,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-39-4867-07-00.jpg,,12/13/2019,13-Dec-19,9:34:40,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-40-4957-07-00.jpg,,12/13/2019,13-Dec-19,9:34:42,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-41-4898-07-00.jpg,,12/13/2019,13-Dec-19,9:34:42,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-42-5098-07-00.jpg,,12/13/2019,13-Dec-19,9:34:44,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-43-4859-07-00.jpg,,12/13/2019,13-Dec-19,9:34:44,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-44-5130-07-00.jpg,,12/13/2019,13-Dec-19,9:34:46,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-45-4860-07-00.jpg,,12/13/2019,13-Dec-19,9:34:46,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-46-5131-07-00.jpg,,12/13/2019,13-Dec-19,9:34:48,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-47-4891-07-00.jpg,,12/13/2019,13-Dec-19,9:34:48,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-48-5132-07-00.jpg,,12/13/2019,13-Dec-19,9:34:50,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-49-4882-07-00.jpg,,12/13/2019,13-Dec-19,9:34:50,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-50-5123-07-00.jpg,,12/13/2019,13-Dec-19,9:34:52,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-51-4884-07-00.jpg,,12/13/2019,13-Dec-19,9:34:52,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-52-5104-07-00.jpg,,12/13/2019,13-Dec-19,9:34:54,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-53-4885-07-00.jpg,,12/13/2019,13-Dec-19,9:34:54,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-54-5095-07-00.jpg,,12/13/2019,13-Dec-19,9:34:56,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-55-5336-07-00.jpg,,12/13/2019,13-Dec-19,9:34:56,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-56-5096-07-00.jpg,,12/13/2019,13-Dec-19,9:34:58,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-57-5367-07-00.jpg,,12/13/2019,13-Dec-19,9:34:58,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-58-5128-07-00.jpg,,12/13/2019,13-Dec-19,9:35:00,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-34-59-5038-07-00.jpg,,12/13/2019,13-Dec-19,9:35:00,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-00-5099-07-00.jpg,,12/13/2019,13-Dec-19,9:35:02,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-01-5019-07-00.jpg,,12/13/2019,13-Dec-19,9:35:02,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-02-5110-07-00.jpg,,12/13/2019,13-Dec-19,9:35:04,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-03-5030-07-00.jpg,,12/13/2019,13-Dec-19,9:35:04,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-04-5111-07-00.jpg,,12/13/2019,13-Dec-19,9:35:06,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-05-5022-07-00.jpg,,12/13/2019,13-Dec-19,9:35:06,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-06-5132-07-00.jpg,,12/13/2019,13-Dec-19,9:35:08,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-07-5053-07-00.jpg,,12/13/2019,13-Dec-19,9:35:08,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-08-5263-07-00.jpg,,12/13/2019,13-Dec-19,9:35:10,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-09-5024-07-00.jpg,,12/13/2019,13-Dec-19,9:35:10,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-10-5284-07-00.jpg,,12/13/2019,13-Dec-19,9:35:12,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-11-5045-07-00.jpg,,12/13/2019,13-Dec-19,9:35:12,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-12-5286-07-00.jpg,,12/13/2019,13-Dec-19,9:35:14,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-13-5046-07-00.jpg,,12/13/2019,13-Dec-19,9:35:14,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-14-4937-07-00.jpg,,12/13/2019,13-Dec-19,9:35:16,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-15-5047-07-00.jpg,,12/13/2019,13-Dec-19,9:35:16,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-16-4968-07-00.jpg,,12/13/2019,13-Dec-19,9:35:18,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-17-5048-07-00.jpg,,12/13/2019,13-Dec-19,9:35:18,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-18-4969-07-00.jpg,,12/13/2019,13-Dec-19,9:35:20,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-19-5050-07-00.jpg,,12/13/2019,13-Dec-19,9:35:20,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-20-4940-07-00.jpg,,12/13/2019,13-Dec-19,9:35:22,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-21-5021-07-00.jpg,,12/13/2019,13-Dec-19,9:35:22,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-22-4931-07-00.jpg,,12/13/2019,13-Dec-19,9:35:24,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-23-5022-07-00.jpg,,12/13/2019,13-Dec-19,9:35:24,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-24-4962-07-00.jpg,,12/13/2019,13-Dec-19,9:35:26,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-25-5203-07-00.jpg,,12/13/2019,13-Dec-19,9:35:26,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-26-4934-07-00.jpg,,12/13/2019,13-Dec-19,9:35:28,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-27-5184-07-00.jpg,,12/13/2019,13-Dec-19,9:35:28,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-28-4945-07-00.jpg,,12/13/2019,13-Dec-19,9:35:30,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-29-4885-07-00.jpg,,12/13/2019,13-Dec-19,9:35:30,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-30-4936-07-00.jpg,,12/13/2019,13-Dec-19,9:35:32,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-31-4886-07-00.jpg,,12/13/2019,13-Dec-19,9:35:32,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-32-4967-07-00.jpg,,12/13/2019,13-Dec-19,9:35:34,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-33-4888-07-00.jpg,,12/13/2019,13-Dec-19,9:35:34,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-34-4978-07-00.jpg,,12/13/2019,13-Dec-19,9:35:36,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-35-4919-07-00.jpg,,12/13/2019,13-Dec-19,9:35:36,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-36-4939-07-00.jpg,,12/13/2019,13-Dec-19,9:35:38,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-37-5180-07-00.jpg,,12/13/2019,13-Dec-19,9:35:38,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-38-4970-07-00.jpg,,12/13/2019,13-Dec-19,9:35:40,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-39-5171-07-00.jpg,,12/13/2019,13-Dec-19,9:35:40,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-40-5102-07-00.jpg,,12/13/2019,13-Dec-19,9:35:42,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-41-5172-07-00.jpg,,12/13/2019,13-Dec-19,9:35:42,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-42-5123-07-00.jpg,,12/13/2019,13-Dec-19,9:35:44,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-43-5203-07-00.jpg,,12/13/2019,13-Dec-19,9:35:44,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-44-5124-07-00.jpg,,12/13/2019,13-Dec-19,9:35:46,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-45-5204-07-00.jpg,,12/13/2019,13-Dec-19,9:35:46,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-46-5105-07-00.jpg,,12/13/2019,13-Dec-19,9:35:48,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-47-5236-07-00.jpg,,12/13/2019,13-Dec-19,9:35:48,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-48-5126-07-00.jpg,,12/13/2019,13-Dec-19,9:35:50,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-49-5167-07-00.jpg,,12/13/2019,13-Dec-19,9:35:50,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-50-5087-07-00.jpg,,12/13/2019,13-Dec-19,9:35:52,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-51-5368-07-00.jpg,,12/13/2019,13-Dec-19,9:35:52,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-52-5098-07-00.jpg,,12/13/2019,13-Dec-19,9:35:54,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-53-5369-07-00.jpg,,12/13/2019,13-Dec-19,9:35:54,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-54-5090-07-00.jpg,,12/13/2019,13-Dec-19,9:35:56,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-55-5040-07-00.jpg,,12/13/2019,13-Dec-19,9:35:56,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-56-5121-07-00.jpg,,12/13/2019,13-Dec-19,9:35:58,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-57-5001-07-00.jpg,,12/13/2019,13-Dec-19,9:35:58,Ok,FALSE,,,,,,
Affiliation 20191213 01___2019-12-13_09-35-58-5122-07-00.jpg,,12/13/2019,13-Dec-19,9:36:00,Ok,FALSE,,,,,,
